SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
0.04,0.683574879,0.147232038,0.157832744,1.73,1.55,0.47,0.45,1.8088,1.380470599
0.04,0.6325811,0.1393534,0.220735786,1.73,1.55,0.47,0.45,1.8088,1.579576839
0.04,0.592296853,0.132170235,0.278086175,1.73,1.55,0.47,0.45,1.8088,1.703839434
0.04,0.444276349,0.094589482,0.578130912,1.73,1.55,0.47,0.45,1.8088,2.015285428
0.04,0.654810932,0.142938822,0.192109777,1.73,1.55,0.47,0.45,1.8088,1.825297374
0.04,0.597328244,0.133120341,0.270500532,1.73,1.55,0.47,0.45,1.8088,1.647180219
0.04,0.457241005,0.098853302,0.544088573,1.73,1.55,0.47,0.45,1.8088,1.935532067
0.04,0.388291247,0.072907553,0.751239428,1.73,1.55,0.47,0.45,1.8088,1.625203268
0.04,0.6325811,0.1393534,0.220735786,0.9,1.37,0.69,0.45,1.1313,-0.147811455
0.04,0.592296853,0.132170235,0.278086175,0.9,1.37,0.69,0.45,1.1313,-0.077542385
0.04,0.444276349,0.094589482,0.578130912,0.9,1.37,0.69,0.45,1.1313,0.083611585
0.04,0.597328244,0.133120341,0.270500532,0.9,1.37,0.69,0.45,1.1313,0.052046681
0.04,0.457241005,0.098853302,0.544088573,0.9,1.37,0.69,0.45,1.1313,0.333029645
0.04,0.388291247,0.072907553,0.751239428,0.9,1.37,0.69,0.45,1.1313,0.439705763
0.029,0.962,0.16,0.038986355,1.93,1.28,0.0,0.28,1.4544,3.06694679
0.037,0.8847,0.14,0.130378096,1.93,1.28,0.0,0.28,1.4544,2.315753252
0.036,0.866,0.14,0.154798762,1.93,1.28,0.0,0.28,1.4544,2.447158031
0.052,0.912,0.15,0.085543199,1.93,1.28,0.0,0.28,1.4544,2.342422681
0.056,0.8751,0.14,0.142653352,1.93,1.28,0.0,0.28,1.4544,2.723103684
0.053,0.87,0.14,0.149476831,1.93,1.28,0.0,0.28,1.4544,2.801632346
0.05,0.8571,0.1667,0.0,2.2,2.34,0.7,2.52,2.3047,1.756636108
0.0375,0.9231,0.0833,0.0,2.2,2.34,0.7,2.52,2.3047,1.711807229
0.06,0.384,0.125,0.0,2.2,2.34,0.7,2.52,2.3047,1.618048097
0.05,0.8571,0.1667,0.0,2.2,2.34,0.7,2.52,2.3047,1.741151599
0.04,0.6372,0.1528,0.2222,2.2,2.34,0.7,2.52,2.3047,1.984527313
0.05,0.8571,0.1667,0.0,1.89,2.5,0.21,1.69,2.1813,0.98721923
0.0375,0.9231,0.0833,0.0,1.89,2.5,0.21,1.69,2.1813,0.978180517
0.06,0.384,0.125,0.0,1.89,2.5,0.21,1.69,2.1813,0.924795996
0.05,0.8571,0.1667,0.0,1.89,2.5,0.21,1.69,2.1813,0.923244019
0.04,0.6372,0.1528,0.2222,1.89,2.5,0.21,1.69,2.1813,1.23299611
0.05,0.8571,0.1667,0.0,2.08,2.55,0.65,1.37,1.7225,0.894869657
0.0375,0.9231,0.0833,0.0,2.08,2.55,0.65,1.37,1.7225,0.868644438
0.06,0.384,0.125,0.0,2.08,2.55,0.65,1.37,1.7225,0.820201459
0.05,0.8571,0.1667,0.0,2.08,2.55,0.65,1.37,1.7225,0.791690649
0.04,0.6372,0.1528,0.2222,2.08,2.55,0.65,1.37,1.7225,0.866877814
3.1,0.849,0.21,0.0,0.85,1.14,0.0,0.27,0.8906,2.123851641
3.1,0.849,0.21,0.0,0.87,1.11,0.0,0.28,1.0315,2.423245874
3.1,0.849,0.21,0.0,1.15,1.6,0.0,0.47,1.0648,1.857332496
3.1,0.849,0.21,0.0,0.87,1.11,0.0,0.28,1.0315,2.588831726
3.1,0.849,0.21,0.0,1.15,1.58,0.0,0.49,1.2057,2.348304863
3.1,0.849,0.21,0.0,1.18,0.92,0.0,0.0,1.206,3.887110703
3.1,0.849,0.21,0.0,1.28,1.63,0.0,0.42,1.1872,2.477121255
3.1,0.849,0.21,0.0,0.96,0.82,0.54,0.17,1.0199,2.691081492
3.1,0.849,0.21,0.0,1.34,0.92,0.0,0.2,1.0854,2.931966115
3.1,0.849,0.21,0.0,1.68,1.79,0.0,1.24,2.1452,2.214843848
3.1,0.849,0.21,0.0,2.21,2.11,0.83,1.0,1.5757,1.740362689
2.3,0.5507,0.2241,0.0,0.85,1.14,0.0,0.27,0.8906,2.136720567
2.3,0.5507,0.2241,0.0,0.87,1.11,0.0,0.28,1.0315,2.471291711
2.3,0.5507,0.2241,0.0,1.15,1.6,0.0,0.47,1.0648,1.880813592
2.3,0.5507,0.2241,0.0,0.87,1.11,0.0,0.28,1.0315,2.511883361
2.3,0.5507,0.2241,0.0,1.18,0.92,0.0,0.0,1.206,4.694517454
2.3,0.5507,0.2241,0.0,1.28,1.63,0.0,0.42,1.1872,2.477121255
2.3,0.5507,0.2241,0.0,0.96,0.82,0.54,0.17,1.0199,2.617000341
2.3,0.5507,0.2241,0.0,1.34,0.92,0.0,0.2,1.0854,3.446381812
2.3,0.5507,0.2241,0.0,1.68,1.79,0.0,1.24,2.1452,1.924279286
2.3,0.5507,0.2241,0.0,2.21,2.11,0.83,1.0,1.5757,1.662757832
0.04,0.563,0.1627,0.5933,1.93,1.28,0.0,0.28,1.4544,4.397940009
0.04,0.563,0.1627,0.5933,2.81,1.71,0.0,0.28,1.5846,5.08278537
0.04,0.563,0.1627,0.5933,1.6,1.59,0.0,0.29,1.2596,2.853698212
0.04,0.563,0.1627,0.5933,1.67,1.26,0.2,0.57,1.1852,2.705007959
